restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Fu Er Dai,"Chinese,Asian,Cantonese","7 Jalan Sultan Ahmad Shah, George Town, Penang Island 10050 Malaysia",2,4,60,5.4232016,100.3327083
Planters Lounge,"International,Asian","10 Lebuh Farquhar Eastern & Oriental Hotel, 6th floor, George Town, Penang Island 10200 Malaysia",2,4.5,72,5.4231701,100.3357086
Thali NR Sweets Cafe,"Indian,Asian,Vegetarian Friendly","Thali NR Sweets Cafe 75 Penang Street Georgetown Little India, Penang Island 10200 Malaysia",1,4,130,5.4171765,100.3393185
Teakadai Cafe,"Cafe,Vegetarian Friendly","No. 68,, George Town, Penang Island Malaysia",2,5,29,5.4141307,100.3287506
Hameed Pata Special Mee,"Asian,Malaysian,Halal","Jalan Tun Syed Sheh Barakbah, George Town, Penang Island 10200 Malaysia",1,4,91,5.4217431,100.3426947
Two Buns Penang,"Quick Bites,American,Fast food","177 Lebuh Carnarvon (Corner unit of intersection between Carnarvon Street and Lebuh Melayu), George Town, Penang Island 10100 Malaysia",2,4.5,75,5.4148279,100.3343145
Li Er Cafe,"Cafe,Asian,Malaysian","349 Jalan Burma, George Town, Penang Island 10350 Malaysia",2,4.5,46,5.4309052,100.3121559
Tan Sam Guan Seafood,"Chinese,Seafood,Asian","Batu Ferringi Road in the lane between Golden Sands Resort and Lone Pine Hotel, Penang Island Malaysia",1,5,56,5.4762606,100.2501211
Narrow Marrow,"Cafe,Malaysian","312 Lebuh Pantai Heritage Shop Lot Untouched Facade in Worn Off White., George Town, Penang Island 10300 Malaysia",2,4.5,62,5.4137967,100.3376003
Sarkies,"Asian,Vegetarian Friendly","Sarkies 10 Lebuh Farquhar, Penang Island 10200 Malaysia",2,4,109,5.4233776,100.3348265
"I Love You, Cafe Batu Ferringhi","Chinese,Seafood,Asian","Jalang Batu Ferringhi, Batu Ferringhi, Penang Island Malaysia",1,4,170,5.477061,100.2533085
The Hillside,"Cafe,European,Fusion","No 3 Jalan Sungai Kelian, Tanjung Bungah, Penang Island 11120 Malaysia",2,4,136,5.464514,100.2912905
Monaliza bar-restaurant,"Bar,Asian,Malaysian","369 Lebuh Chulia, George Town, Penang Island Malaysia",1,4,80,5.418478,100.3357892
The Mermaid Cafe.Ikan Bakar,"Dessert,Cafe,Seafood","86b&C Lorong Macalister, George Town, Penang Island 10400 Malaysia",1,5,29,5.4164852,100.3286851
Gudang Cafe,"Japanese,American,Cafe","5 Gat Lebuh Armenian, George Town, Penang Island 10300 Malaysia",2,4.5,74,5.4138126,100.3387488
Arte Restaurant Penang,"French,European,Fusion","25 Jalan Argyll, George Town, Penang Island 10050 Malaysia",2,4.5,80,5.4203868,100.3319481
Old Green House Prawn Mee,"Chinese,Malaysian","223 Jalan Burma, George Town, Penang Island 10500 Malaysia",1,4,103,5.4235629,100.3210449
David Brown's Restaurant and Tea Terraces,"European,British,Vegetarian Friendly","David Brown's Restaurant and Tea Terraces Lot 400 Daerah Bart Daya 17 Mk Strawberry Hill, Bukit Bendera, Ayer Itam, Penang Island 11300 Malaysia",2,3.5,323,5.402693,100.2782329
